Date,Inflows  (m3/s),Inflows Tributary (m3/s),Inflows Tributary (m3/s)
1/26/24 11:00	,	270	,	100.0825106	,	19.96006473
1/26/24 12:00	,	270	,	100.0519104	,	19.60854542
1/26/24 13:00	,	270	,	149.9286571	,	29.815592
1/26/24 14:00	,	270	,	150.0141934	,	30.41234837
1/26/24 15:00	,	270	,	149.9970933	,	29.82414867
1/26/24 16:00	,	270	,	149.9557342	,	29.55453142
1/26/24 17:00	,	270	,	150.1094631	,	29.75228338
1/26/24 18:00	,	270	,	150	,	30.26218589
1/26/24 19:00	,	270	,	149.7236072	,	30.48493088
1/26/24 20:00	,	270	,	149.6202962	,	29.81111872
1/26/24 21:00	,	270	,	149.6191364	,	30.34485654
1/26/24 22:00	,	270	,	149.9041889	,	50.10324451
1/26/24 23:00	,	270	,	150.2004668	,	49.79697444
1/27/24 0:00	,	250	,	150.3185781	,	50.45950812
1/27/24 1:00	,	250	,	150	,	50.49115148
1/27/24 2:00	,	250	,	150	,	49.52276924
1/27/24 3:00	,	250	,	150	,	48.54383357
1/27/24 4:00	,	250	,	150	,	48.57540886
1/27/24 5:00	,	250	,	150	,	48.64898605
1/27/24 6:00	,	250	,	170	,	50.47347908
1/27/24 7:00	,	250	,	170	,	49.86200109
1/27/24 8:00	,	250	,	170	,	50.12110165
1/27/24 9:00	,	250	,	180.3213498	,	50.18655368
1/27/24 10:00	,	250	,	180.1906746	,	50.48219826
1/27/24 11:00	,	250	,	200.1906746	,	50.33333257
1/27/24 12:00	,	250	,	249.8502444	,	50.14623836
1/27/24 13:00	,	280	,	249.7452996	,	69.87251707
1/27/24 14:00	,	280	,	300.4665381	,	70.01081892
1/27/24 15:00	,	280	,	299.6813033	,	80.43605375
1/27/24 16:00	,	280	,	300.2818651	,	80.29132236
1/27/24 17:00	,	280	,	300.2818651	,	79.64175716
1/27/24 18:00	,	280	,	299.6837345	,	80.05265986
1/27/24 19:00	,	280	,	300.1593085	,	79.90547785
1/27/24 20:00	,	280	,	300.0344723	,	79.90683647
1/27/24 21:00	,	280	,	300.4722491	,	80.16127518
1/27/24 22:00	,	300	,	299.5379958	,	80.05935732
1/27/24 23:00	,	300	,	299.55551	,	80.07924108
1/28/24 0:00	,	280	,	179.7646179	,	59.99203961
1/28/24 1:00	,	280	,	180	,	60.08522375
1/28/24 2:00	,	280	,	180	,	60.40833552
1/28/24 3:00	,	280	,	180	,	60.44953811
1/28/24 4:00	,	280	,	180	,	60.47012412
1/28/24 5:00	,	280	,	180	,	59.75103876
1/28/24 6:00	,	280	,	180.4151783	,	60.40294866
1/28/24 7:00	,	280	,	180.066458	,	59.78001285
1/28/24 8:00	,	250	,	179.5839509	,	39.63982984
1/28/24 9:00	,	250	,	179.7072506	,	40.47674752
1/28/24 10:00	,	250	,	180.1590335	,	40.31992988
1/28/24 11:00	,	250	,	180	,	30
1/28/24 12:00	,	250	,	180	,	30
1/28/24 13:00	,	250	,	180	,	30
1/28/24 14:00	,	250	,	180	,	30
1/28/24 15:00	,	250	,	180	,	30
1/28/24 16:00	,	250	,	180	,	30
1/28/24 17:00	,	250	,	180	,	30
1/28/24 18:00	,	250	,	180	,	30
1/28/24 19:00	,	250	,	180	,	30
1/28/24 20:00	,	250	,	180	,	30
1/28/24 21:00	,	250	,	180	,	30
1/28/24 22:00	,	250	,	180	,	30
1/28/24 23:00	,	250	,	180	,	30
1/29/24 0:00	,	250	,	150	,	30
1/29/24 1:00	,	250	,	150	,	30
1/29/24 2:00	,	250	,	150	,	30
1/29/24 3:00	,	250	,	150	,	30
1/29/24 4:00	,	250	,	150	,	30
1/29/24 5:00	,	250	,	150	,	30
1/29/24 6:00	,	250	,	149.6010283	,	30
1/29/24 7:00	,	250	,	151.6351316	,	30
1/29/24 8:00	,	250	,	149.6777206	,	30
1/29/24 9:00	,	250	,	149.7372707	,	30
1/29/24 10:00	,	250	,	149.7882448	,	30
1/29/24 11:00	,	250	,	149.8306748	,	30
1/29/24 12:00	,	250	,	149.8815331	,	30
1/29/24 13:00	,	250	,	149.9492465	,	30
1/29/24 14:00	,	250	,	150.0168489	,	30
1/29/24 15:00	,	250	,	150.0759106	,	30
1/29/24 16:00	,	250	,	46.96612305	,	30
1/29/24 17:00	,	250	,	26.47421101	,	30
1/29/24 18:00	,	250	,	26.36273535	,	30
1/29/24 19:00	,	250	,	26.62263334	,	30
1/29/24 20:00	,	250	,	150.0337323	,	30
1/29/24 21:00	,	250	,	150.2357986	,	30
1/29/24 22:00	,	250	,	150.2357986	,	30
1/29/24 23:00	,	250	,	150	,	30
1/30/24 0:00	,	240	,	140.525422	,	30
1/30/24 1:00	,	240	,	140.496655	,	30
1/30/24 2:00	,	240	,	140.4822776	,	30
1/30/24 3:00	,	240	,	132.2739434	,	30
1/30/24 4:00	,	240	,	128.7490741	,	30
1/30/24 5:00	,	240	,	128.7359063	,	30
1/30/24 6:00	,	240	,	120	,	30
1/30/24 7:00	,	240	,	120	,	30
1/30/24 8:00	,	240	,	120	,	20
1/30/24 9:00	,	240	,	120	,	20
1/30/24 10:00	,	240	,	120	,	20
1/30/24 11:00	,	240	,	120	,	20
1/30/24 12:00	,	240	,	100	,	20
1/30/24 13:00	,	240	,	100	,	20
1/30/24 14:00	,	240	,	100	,	20
1/30/24 15:00	,	240	,	100	,	20
1/30/24 16:00	,	240	,	100	,	20
1/30/24 17:00	,	240	,	100	,	20
1/30/24 18:00	,	240	,	100	,	20
1/30/24 19:00	,	240	,	100	,	20
1/30/24 20:00	,	240	,	100	,	20
1/30/24 21:00	,	240	,	100	,	20
1/30/24 22:00	,	240	,	100	,	20
1/30/24 23:00	,	240	,	100	,	20
1/31/24 0:00	,	240	,	100	,	20
1/31/24 1:00	,	240	,	120	,	20
1/31/24 2:00	,	240	,	120	,	20
1/31/24 3:00	,	240	,	120	,	20
1/31/24 4:00	,	240	,	120	,	20
1/31/24 5:00	,	240	,	120	,	20
1/31/24 6:00	,	240	,	120	,	19.93678784
1/31/24 7:00	,	240	,	120	,	20.15348959
